"games_before_purchase","balance_before_purchase","purchase_type"
5,60,"iap"
2,45,"iap"
2,40,"iap"
41,190,"iap"
8,0,"iap"
0,0,"iap"
124,88,"iap"
9,81,"iap"
0,500,"iap"
37,25,"iap"
0,0,"iap"
4,88,"iap"
0,0,"iap"
3,0,"iap"
0,0,"iap"
1,290,"iap"
5,30,"iap"
7,20,"iap"
3,0,"iap"
16,0,"iap"
193,16,"iap"
0,0,"iap"
3,30,"iap"
11,10,"iap"
4,210,"iap"
5,50,"iap"
0,0,"iap"
3,50,"iap"
3,85,"iap"
3,35,"iap"
2,100,"iap"
2,0,"iap"
14,58,"iap"
3,542,"iap"
0,0,"iap"
7,20,"iap"
0,0,"iap"
57,660,"iap"
3,60,"iap"
11,10,"iap"
91,98,"iap"
6,210,"iap"
32,35,"iap"
4,15,"iap"
16,24,"iap"
26,45,"iap"
2,0,"iap"
12,70,"iap"
1,20,"iap"
3,10,"iap"
3,10,"iap"
7,10,"iap"
9,0,"iap"
11,95,"iap"
7,10,"iap"
3,10,"iap"
12,50,"iap"
3,395,"iap"
4,20,"iap"
31,42,"iap"
56,120,"iap"
12,40,"iap"
23,60,"iap"
7,40,"iap"
3,30,"iap"
17,35,"iap"
4,330,"iap"
9,10,"iap"
2,100,"iap"
2,30,"iap"
13,110,"iap"
4,54,"iap"
4,10,"iap"
2,360,"iap"
67,70,"iap"
1,0,"iap"
37,60,"iap"
10,20,"iap"
7,84,"iap"
1,530,"iap"
165,140,"iap"
108,88,"iap"
1,10,"iap"
5,20,"iap"
5,20,"iap"
12,80,"iap"
17,25,"iap"
3,260,"iap"
4,0,"iap"
2,50,"iap"
9,20,"iap"
0,0,"iap"
15,145,"iap"
5,10,"iap"
16,100,"iap"
32,300,"iap"
851,297,"iap"
4,50,"iap"
4,40,"iap"
23,25,"iap"
0,0,"iap"
2900,42,"iap"
8,50,"iap"
30,158,"iap"
0,435,"iap"
4,10,"iap"
9,121,"iap"
5,0,"iap"
17,165,"iap"
16,75,"iap"
2,50,"iap"
